ID,Species,Binomial,Presence_of_Data,Publish_Date,Original_Data,Date_Start,Date_End,Country,Lat,Long,Sample_Size,Age_Min,Age_Max,Testicular_Volume,Testicular_Circumference,Collection_Method,Seminal_Volume,Mean_Motility,Sperm_Concentration,%_Normal_Morphology,%_Intact_Acrosome,%_Head_Abnormalities,%_Midpiece_Abnormalities,%_Tail_Abnormalities,Housing,Pairing,Reference,Comments,,,,,,,,,
34,Rhinoceros,multiple,Yes,2005-12-01,Yes,,,,multiple,multiple,7,7,34,,,EEJ,98.2,80.7,37100,41.6,,,,,captive,multiple,https://doi.org/10.1638/05-019.1,,,,,,,,,,
35,White Rhinoceros,Ceratotherium simum,Yes,2022-01-18,Yes,,,multiple,multiple,multiple,10,,,,,EEJ,8.85,77.5,549.65,80.1,88.7,,,,captive,,https://doi.org/10.3390/biology11020154,,,,,,,,,,
36,Silver Fox,Vulpes vulpes,Yes,1993-01-01,,,,,,,36,,,,,EEJ,,,,87.55,,,,6.225,,,https://europepmc.org/article/med/8229937,Sperm abnormalities in silver fox (Vulpes vulpes) semen selected for artificial insemination,,,,,,,,,
37,Tiger,Panthera tigris,Yes,1988-03-01,Yes,1982-02-01,1985-04-30,USA,41.2260423,-95.92683035,7,3,11,,,EEJ,7,81.5,31.9,63,96.9,3.42,22.3,11.82,captive,multiple,10.1095/biolreprod38.2.245,,,,,,,,,,
38,Tiger,Panthera tigris,Yes,2016-07-01,,,,IDN,-6.720478711,106.9508891,5,4,12,,,EEJ,1.5,72.5,114,,,,,,captive,,https://www.ingentaconnect.com/content/cryo/cryo/2016/00000037/00000004/art00005#,Characteristics and Fertility of Sumatran Tiger Spermatozoa Cryopreserved With Different Sugars,,,,,,,,,
39,Wild Horse,Equus ferus,Yes,2006-08-07,Yes,,,USA,multiple,multiple,9,,,75.25,,EEJ,19.9,52.7,2000,23.4,,28.7,42.6,4.3,captive,,https://doi.org/10.1016/j.anireprosci.2006.03.048,,,,,,,,,,
40,Brown Bear,Ursus arctos,Yes,2015-10-15,Yes,,,ESP,43.3496803,-3.854059901,24,6,,,,EEJ,,41.16666667,323.6,,86.1,,,,captive,,https://doi.org/10.1016/j.theriogenology.2015.06.017,,,,,,,,,,
41,Brown Bear,Ursus arctos,Yes,2016-04-01,Yes,,,ESP,43.3496803,-3.854059901,8,7,20,,,EEJ,2,87.5,208.2,71,99.7,,,,captive,,https://doi.org/10.1016/j.theriogenology.2015.11.021,only acrosome and apoptosis cosidered for morphology,,,,,,,,,
42,Brown Bear,Ursus arctos,Yes,1998-08-01,Yes,1995-05-15,1996-07-15,JPN,42.49067152,141.1589208,10,7,16,,,EEJ,2.7,80.2,471.6,78.2,,,,,captive,alone,10.1292/jvms.60.965,,,,,,,,,,
43,Giant Panda,Ailuropoda melanoleuca,Yes,2004-05-01,Yes,,,CHN,30.73453999,104.1457369,9,5,16,,,EEJ,2.8,76.1,1100,84.2,93.6,,,,captive,alone,https://doi.org/10.1530/rep.1.00034,,,,,,,,,,
44,Giant Panda,Ailuropoda melanoleuca,Yes,2015-08-13,Yes,,,ESP,40.40935644,-3.760842546,1,13,13,,,EEJ,,96.15,2622.05,85,95.9,,,,captive,,https://doi.org/10.1111/and.12468,,,,,,,,,,
45,Giant Panda,Ailuropoda melanoleuca,Yes,1983-01-01,Yes,1979-06-06,1980-05-06,USA,38.92974494,-77.04973076,1,8,8,398.8666667,19.8443936,EEJ,3.225,67.5,245.8339372,77.5,,,,,captive,alone,https://doi.org/10.1530/jrf.0.0670009,,,,,,,,,,
46,Giant Panda,Ailuropoda melanoleuca,Yes,2003-08-06,Yes,1998-04-01,1999-05-12,multiple,multiple,multiple,3,5.5,22.5,139.5,,EEJ,6.5375,76.5,841.9535299,,,,,,captive,alone,https://doi.org/10.1002/zoo.10107open_in_new,,,,,,,,,,
47,Giant Anteater,Myrmecophaga tridactyla,Yes,2015-12-01,Yes,2012-10-01,2013-11-30,BRA,multiple,multiple,8,,,,,EEJ,0.75,75,108.5,58.1,,14.735,16.56,19.865,wild,,https://doi.org/10.1016/j.theriogenology.2015.07.041,,,,,,,,,,
48,Six-banded Armadillo,Euphractus sexcinctus,Yes,2013-08-01,Yes,,,BRA,-5.165722939,-37.16658137,4,,,,,EEJ,0.2792,65.8,757,89.4,59.5,3.2,0.9,6.8,captive,alone,https://doi.org/10.1016/j.anireprosci.2013.05.015,,,,,,,,,,
49,Crab-eating Fox,Cerdocyon thous,Yes,2020-10-01,Yes,2018-07-01,2019-08-01,BRA,-23.56954215,-46.73905272,5,3,5,2.15,,MT,0.3932,68,217.4,1,,73.1,34.15,6.1,captive,alone,https://doi.org/10.1016/j.theriogenology.2020.06.016,,,,,,,,,,
50,Arctic Fox,Vulpes lagopus,Yes,2018-07-31,,,,POL,,,9,1,5,,,MT,,70,200,93,,,,,captive,,https://doi.org/10.2478/aoas-2018-0023,,,,,,,,,,
51,Clouded Leopard,Neofelis nebulosa,Yes,1986-06-01,Yes,,,USA,38.92980339,-77.04977367,4,9,12,,,EEJ,0.64,71,27.5,60.9,,3.2,16.7,19.3,captive,alone,10.1095/biolreprod34.5.937,,,,,,,,,,
52,Clouded Leopard,Neofelis nebulosa,Yes,2016-12-01,Yes,2012-11-01,2015-03-31,THA,13.21498555,101.0570439,7,3,9,20.8,14.1,EEJ,0.4226,75.5,168.6,33.3,38.4,21.65,21.3,26.55,captive,alone,https://doi.org/10.1016/j.theriogenology.2016.07.020,,,,,,,,,,
